weekly_retail_sales
date,value
2013-02-10,2189.07
2013-02-17,2840.67
2013-02-24,2527.65
2013-03-03,2771.14
2013-03-10,2756.47
2013-03-17,2856.39
2013-03-24,2941.57
2013-03-31,2803.11
2013-04-07,2765.4
2013-04-14,2372.15
2013-04-21,2511.69
2013-04-28,2727.29
2013-05-05,2722.8
2013-05-12,2816.7
2013-05-19,2692.08
2013-05-26,3205.61
2013-06-02,2854.0
2013-06-09,2362.44
2013-06-16,2390.21
2013-06-23,2516.98
2013-06-30,2390.26
2013-07-07,2224.68
2013-07-14,2161.73
2013-07-21,2551.84
2013-07-28,2525.24
2013-08-04,2119.8
2013-08-11,2070.69
2013-08-18,2482.76
2013-08-25,2277.56
2013-09-01,2097.39
2013-09-08,1907.59
2013-09-15,1961.63
2013-09-22,2388.63
2013-09-29,2015.28
2013-10-06,2358.71
2013-10-13,1754.88
2013-10-20,2006.07
2013-10-27,2292.15
2013-11-03,2389.24
2013-11-10,2074.1
2013-11-17,2291.62
2013-11-24,2414.63
2013-12-01,2561.51
2013-12-08,2548.55
2013-12-15,2576.94
2013-12-22,2905.45
2013-12-29,2570.28
2014-01-05,2726.41
2014-01-12,2622.15
2014-01-19,2795.55
2014-01-26,3129.09
2014-02-02,2766.68
2014-02-09,3011.65
2014-02-16,2888.42
2014-02-23,3394.97
2014-03-02,2962.32
2014-03-09,3387.14
2014-03-16,3115.87
2014-03-23,2994.68
2014-03-30,3228.1
2014-04-06,3135.31
2014-04-13,3233.95
2014-04-20,3153.47
2014-04-27,3169.66
2014-05-04,3262.83
2014-05-11,3080.61
2014-05-18,3180.76
2014-05-25,3332.92
2014-06-01,2727.24
2014-06-08,3067.2
2014-06-15,2918.75
2014-06-22,3086.91
2014-06-29,3314.04
2014-07-06,2653.98
2014-07-13,3010.54
2014-07-20,2624.32
2014-07-27,2698.92
2014-08-03,2618.99
2014-08-10,2462.78
2014-08-17,2711.15
2014-08-24,2309.65
2014-08-31,2627.53
2014-09-07,2427.5
2014-09-14,2828.84
2014-09-21,2619.26
2014-09-28,2576.51
2014-10-05,2879.57
2014-10-12,2563.5
2014-10-19,2499.15
2014-10-26,2591.6
2014-11-02,3108.41
2014-11-09,3066.62
2014-11-16,2576.04
2014-11-23,2780.81
2014-11-30,2580.87
2014-12-07,3267.75
2014-12-14,3042.53
2014-12-21,3104.32
2014-12-28,3235.31
2015-01-04,3180.5
2015-01-11,2860.49
2015-01-18,3385.21
2015-01-25,3471.66
2015-02-01,3199.13
2015-02-08,3220.22
2015-02-15,3656.98
2015-02-22,3123.74
2015-03-01,3498.64
2015-03-08,3673.86
2015-03-15,3176.37
2015-03-22,3789.51
2015-03-29,3449.75
2015-04-05,3381.39
2015-04-12,3434.65
2015-04-19,3698.11
2015-04-26,3280.74
2015-05-03,3956.02
2015-05-10,3424.74
2015-05-17,3537.32
2015-05-24,3531.6
2015-05-31,3477.36
2015-06-07,3509.95
2015-06-14,3875.99
2015-06-21,2978.86
2015-06-28,3473.8
2015-07-05,3354.35
2015-07-12,3020.0
2015-07-19,3184.85
2015-07-26,2794.73
2015-08-02,3112.88
2015-08-09,3209.46
2015-08-16,3088.05
2015-08-23,3040.74
2015-08-30,3291.44
2015-09-06,3109.53
2015-09-13,3049.72
2015-09-20,2976.35
2015-09-27,2831.22
2015-10-04,3008.28
2015-10-11,2957.19
2015-10-18,3045.29
2015-10-25,3060.15
2015-11-01,3380.96
2015-11-08,3313.64
2015-11-15,3207.77
2015-11-22,3033.54
2015-11-29,3343.58
2015-12-06,3021.53
2015-12-13,2792.09
2015-12-20,3172.22
2015-12-27,3196.42
2016-01-03,3425.46
2016-01-10,3812.6
2016-01-17,3444.49
2016-01-24,4152.7
2016-01-31,3553.98
2016-02-07,3761.89
2016-02-14,4113.66
2016-02-21,3862.54
2016-02-28,3872.06
2016-03-06,3869.66
2016-03-13,3953.28
2016-03-20,4117.14
2016-03-27,3944.78
2016-04-03,4023.15
2016-04-10,3908.7
2016-04-17,4053.57
2016-04-24,3514.53
2016-05-01,3613.08
2016-05-08,3846.7
2016-05-15,3968.67
2016-05-22,4040.4
2016-05-29,3994.57
2016-06-05,3652.09
2016-06-12,3750.36
2016-06-19,4030.76
2016-06-26,3843.67
2016-07-03,3653.48
2016-07-10,3499.81
2016-07-17,3177.34
2016-07-24,3475.64
2016-07-31,3205.78
2016-08-07,3490.38
2016-08-14,3494.6
2016-08-21,3634.23
2016-08-28,3643.39
2016-09-04,3267.73
2016-09-11,3121.75
2016-09-18,3658.8
2016-09-25,3500.76
2016-10-02,3129.85
2016-10-09,3239.4
2016-10-16,3172.0
2016-10-23,3485.34
2016-10-30,3441.98
2016-11-06,3275.24
2016-11-13,3146.14
2016-11-20,3908.06
2016-11-27,3761.36
2016-12-04,3700.58
2016-12-11,3619.24
2016-12-18,3966.41
2016-12-25,3730.82
2017-01-01,3862.58
2017-01-08,3905.04
2017-01-15,4104.68
2017-01-22,4487.25
2017-01-29,4048.86
2017-02-05,3882.71
2017-02-12,4090.72
2017-02-19,4703.07
2017-02-26,4124.54
2017-03-05,4562.91
2017-03-12,4299.51
2017-03-19,4687.96
2017-03-26,4824.89
2017-04-02,4582.02
2017-04-09,4842.45
2017-04-16,4654.23
2017-04-23,4459.46
2017-04-30,4168.69
2017-05-07,4305.53
2017-05-14,4448.94
2017-05-21,4142.7
2017-05-28,4540.6
2017-06-04,4213.91
2017-06-11,4123.54
2017-06-18,4311.44
2017-06-25,4079.62
2017-07-02,4035.19
2017-07-09,4164.52
2017-07-16,3859.98
2017-07-23,4004.19
2017-07-30,4026.29
2017-08-06,4108.47
2017-08-13,3776.23
2017-08-20,3797.71
2017-08-27,4123.29
2017-09-03,3788.23
2017-09-10,3814.18
2017-09-17,3876.92
2017-09-24,3896.23
2017-10-01,3925.45
2017-10-08,3677.74
2017-10-15,3943.36
2017-10-22,3871.4
2017-10-29,3749.82
2017-11-05,3513.35
2017-11-12,3950.57
2017-11-19,3890.83
2017-11-26,4563.54
2017-12-03,4450.81
2017-12-10,4148.89
2017-12-17,4043.37
2017-12-24,3945.84
2017-12-31,4036.13
2018-01-07,4700.41
2018-01-14,4584.16
2018-01-21,4799.92
2018-01-28,4700.48
2018-02-04,4323.27
2018-02-11,4170.71
2018-02-18,4366.09
2018-02-25,4629.64
2018-03-04,4628.57
2018-03-11,4599.89
2018-03-18,4898.4
2018-03-25,5080.16
2018-04-01,4995.12
2018-04-08,4727.91
2018-04-15,4645.23
2018-04-22,4967.23
2018-04-29,4812.01
2018-05-06,4736.67
2018-05-13,4667.08
2018-05-20,4658.95
2018-05-27,4502.1
2018-06-03,4342.23
2018-06-10,4899.23
2018-06-17,4970.66
2018-06-24,4412.9
2018-07-01,4636.04
2018-07-08,4767.62
2018-07-15,4803.0
2018-07-22,4607.34
2018-07-29,4340.07
2018-08-05,4163.39
2018-08-12,4681.52
2018-08-19,4287.8
2018-08-26,4308.92
2018-09-02,4118.69
2018-09-09,4728.28
2018-09-16,4361.75
2018-09-23,4446.76
2018-09-30,4519.28
2018-10-07,4485.73
2018-10-14,4290.44
2018-10-21,4028.64
2018-10-28,4381.72
2018-11-04,4556.85
2018-11-11,4615.14
2018-11-18,4619.72
2018-11-25,4452.87
2018-12-02,4684.1
2018-12-09,4754.89
2018-12-16,4687.32
2018-12-23,4223.48
2018-12-30,4813.16
2019-01-06,4602.96
2019-01-13,4659.16
2019-01-20,4446.0
2019-01-27,5168.54
2019-02-03,5309.11
2019-02-10,4979.22
2019-02-17,4872.62
2019-02-24,5212.97
2019-03-03,4952.72
2019-03-10,4781.72
2019-03-17,5801.74
2019-03-24,5195.17
2019-03-31,5002.78
2019-04-07,5199.77
2019-04-14,5381.08
2019-04-21,5387.63
2019-04-28,5397.42
2019-05-05,5345.46
2019-05-12,5325.9
2019-05-19,5451.36
2019-05-26,5560.68
2019-06-02,5106.46
2019-06-09,5147.17
2019-06-16,5154.36
2019-06-23,4846.63
2019-06-30,4917.36
2019-07-07,4707.74
2019-07-14,4806.1
2019-07-21,4929.04
2019-07-28,4876.38
